Timestamp,ppgRed 
1684327608833,4835998 
1684327608843,4836169 
1684327608852,4836491 
1684327608864,4836523 
1684327608872,4836665 
1684327608883,4836734 
1684327608893,4836806 
1684327608903,4837132 
1684327608912,4837151 
1684327608923,4837513 
1684327608933,4837615 
1684327608943,4837621 
1684327608953,4837686 
1684327608964,4837816 
1684327608973,4837905 
1684327608983,4837981 
1684327608993,4838353 
1684327609003,4838627 
1684327609013,4838719 
1684327609023,4838896 
1684327609034,4839200 
1684327609043,4839449 
1684327609053,4839518 
1684327609065,4839506 
1684327609073,4839799 
1684327609083,4839997 
1684327609094,4840097 
1684327609103,4840098 
1684327609113,4840433 
1684327609123,4840685 
1684327609133,4840541 
1684327609143,4840465 
1684327609153,4840195 
1684327609168,4840204 
1684327609173,4840257 
1684327609183,4840370 
1684327609193,4840750 
1684327609203,4840938 
1684327609213,4841238 
1684327609223,4841356 
1684327609233,4841002 
1684327609243,4841137 
1684327609253,4841007 
1684327609266,4840790 
1684327609273,4840890 
1684327609283,4841005 
1684327609293,4841338 
1684327609303,4841640 
1684327609313,4841237 
1684327609323,4841330 
1684327609333,4841204 
1684327609344,4840808 
1684327609353,4840766 
1684327609364,4840521 
1684327609373,4840355 
1684327609383,4840388 
1684327609393,4840241 
1684327609403,4840263 
1684327609413,4840814 
1684327609423,4840904 
1684327609433,4840930 
1684327609443,4841180 
1684327609453,4841169 
1684327609465,4841272 
1684327609473,4841295 
1684327609483,4841218 
1684327609493,4841018 
1684327609503,4841222 
1684327609513,4841349 
1684327609524,4841543 
1684327609533,4841713 
1684327609543,4842138 
1684327609553,4842416 
1684327609565,4842725 
1684327609573,4842838 
1684327609584,4842970 
1684327609593,4842917 
1684327609603,4843225 
1684327609613,4843452 
1684327609624,4843593 
1684327609633,4843806 
1684327609643,4844213 
1684327609653,4844066 
1684327609664,4844281 
1684327609673,4844357 
1684327609683,4844440 
1684327609693,4844633 
1684327609703,4844640 
1684327609713,4845022 
1684327609723,4845060 
1684327609733,4845247 
1684327609743,4845522 
1684327609753,4845632 
1684327609764,4845891 
1684327609773,4845902 
1684327609783,4846043 
1684327609793,4845984 
1684327609803,4845953 
1684327609813,4846302 
1684327609824,4846123 
1684327609833,4846284 
1684327609843,4846666 
1684327609853,4846910 
1684327609865,4847013 
1684327609873,4846897 
1684327609884,4846971 
1684327609893,4847100 
1684327609904,4847082 
1684327609913,4846985 
1684327609923,4846804 
1684327609933,4846885 
1684327609944,4846397 
1684327609953,4845888 
1684327609965,4845766 
1684327609973,4845168 
1684327609984,4845176 
1684327609993,4844871 
1684327610003,4844622 
1684327610013,4844895 
1684327610025,4844691 
1684327610033,4844497 
1684327610043,4844514 
1684327610053,4844386 
1684327610066,4844028 
1684327610073,4843865 
1684327610083,4843580 
1684327610093,4843499 
1684327610104,4843539 
1684327610113,4843603 
1684327610124,4843770 
1684327610133,4843736 
1684327610144,4843947 
1684327610153,4844020 
1684327610164,4843935 
1684327610173,4844052 
1684327610184,4843819 
1684327610193,4843991 
1684327610204,4843891 
1684327610213,4843792 
1684327610225,4844041 
1684327610233,4844095 
1684327610244,4843889 
1684327610253,4844099 
1684327610265,4844116 
1684327610273,4844069 
1684327610285,4844203 
1684327610293,4844080 
1684327610305,4844410 
1684327610313,4844358 
1684327610324,4844131 
1684327610333,4844455 
1684327610344,4844506 
1684327610353,4844552 
1684327610364,4844618 
1684327610373,4844318 
1684327610384,4844307 
1684327610393,4844411 
1684327610404,4844465 
1684327610413,4844641 
1684327610424,4844905 
1684327610433,4844925 
1684327610444,4845167 
1684327610453,4845081 
1684327610464,4845141 
1684327610473,4845119 
1684327610484,4845154 
1684327610493,4845545 
1684327610504,4845597 
1684327610513,4845929 
1684327610524,4845963 
1684327610533,4845853 
1684327610544,4846117 
1684327610553,4846047 
1684327610564,4846037 
1684327610573,4846075 
1684327610584,4846146 
1684327610593,4846440 
1684327610604,4846495 
1684327610613,4846669 
1684327610624,4846452 
1684327610633,4846339 
1684327610644,4846309 
1684327610653,4846187 
1684327610665,4845960 
1684327610674,4846150 
1684327610684,4845768 
1684327610694,4845985 
1684327610704,4845935 
1684327610714,4845757 
1684327610724,4845670 
1684327610734,4845300 
1684327610744,4845306 
1684327610754,4845169 
1684327610764,4845357 
1684327610774,4845220 
1684327610784,4845294 
1684327610794,4845018 
1684327610806,4844932 
1684327610814,4844727 
1684327610825,4844715 
1684327610834,4844582 
1684327610844,4844511 
1684327610854,4844538 
1684327610865,4844331 
1684327610874,4844311 
1684327610884,4844162 
1684327610894,4844179 
1684327610904,4844026 
1684327610914,4843978 
1684327610925,4843986 
1684327610934,4843749 
1684327610944,4843875 
1684327610954,4843784 
1684327610965,4843869 
1684327610974,4843752 
1684327610984,4843833 
1684327610994,4843722 
1684327611006,4843740 
1684327611014,4843558 
1684327611024,4843463 
1684327611034,4843042 
1684327611044,4843041 
1684327611054,4842924 
1684327611065,4843145 
1684327611074,4843013 
1684327611084,4843176 
1684327611094,4842948 
1684327611105,4842820 
1684327611114,4842694 
1684327611124,4842705 
1684327611134,4842689 
1684327611145,4842918 
1684327611154,4842757 
1684327611165,4842923 
1684327611174,4842905 
1684327611184,4842858 
1684327611194,4842949 
1684327611204,4842985 
1684327611214,4842896 
1684327611224,4843041 
1684327611234,4843094 
1684327611245,4843380 
1684327611254,4843451 
1684327611265,4843799 
1684327611274,4843714 
1684327611284,4843875 
1684327611294,4843844 
1684327611305,4843509 
1684327611314,4843358 
1684327611324,4843473 
1684327611334,4843581 
1684327611344,4843489 
1684327611354,4843710 
1684327611366,4843670 
1684327611374,4843852 
1684327611385,4844090 
1684327611394,4843939 
1684327611406,4844031 
1684327611414,4844019 
1684327611424,4844018 
1684327611434,4843949 
1684327611445,4843895 
1684327611454,4843803 
1684327611466,4843569 
1684327611474,4843565 
1684327611484,4843273 
1684327611494,4843216 
1684327611505,4843118 
1684327611514,4843012 
1684327611524,4842752 
1684327611534,4842812 
1684327611545,4842543 
1684327611554,4842637 
1684327611565,4842431 
1684327611574,4842782 
1684327611585,4842998 
1684327611594,4843101 
1684327611604,4843014 
1684327611614,4842884 
1684327611625,4842713 
1684327611634,4842311 
1684327611645,4842059 
1684327611654,4842065 
1684327611665,4842113 
1684327611674,4842458 
1684327611684,4842649 
1684327611694,4842915 
1684327611705,4842960 
1684327611714,4842981 
1684327611727,4842784 
1684327611734,4842673 
1684327611745,4842611 
1684327611754,4842503 
1684327611766,4842401 
1684327611774,4842458 
1684327611785,4842654 
1684327611794,4842825 
1684327611805,4843032 
1684327611814,4843006 
1684327611827,4842974 
1684327611835,4843203 
1684327611844,4842793 
1684327611854,4843043 
1684327611866,4843124 
1684327611874,4843064 
1684327611884,4843403 
1684327611894,4843267 
1684327611906,4843484 
1684327611914,4843878 
1684327611925,4843807 
1684327611934,4843707 
1684327611946,4843513 
1684327611954,4843423 
1684327611965,4843569 
1684327611974,4843573 
1684327611985,4843689 
1684327611994,4843388 
1684327612005,4843486 
1684327612014,4843151 
1684327612025,4843166 
1684327612034,4843195 
1684327612046,4843154 
1684327612054,4842888 
1684327612065,4842976 
1684327612074,4842849 
1684327612084,4842647 
1684327612094,4842463 
1684327612106,4842683 
1684327612114,4842715 
1684327612124,4842586 
1684327612134,4842513 
1684327612145,4842458 
1684327612154,4842200 
1684327612166,4842209 
1684327612174,4841990 
1684327612185,4842179 
1684327612194,4841944 
1684327612205,4842016 
1684327612214,4841846 
1684327612226,4842029 
1684327612234,4841939 
1684327612245,4842030 
1684327612254,4841867 
1684327612266,4841750 
1684327612274,4841675 
1684327612285,4841842 
1684327612294,4841826 
1684327612305,4841905 
1684327612314,4841894 
1684327612325,4841910 
1684327612335,4841941 
1684327612345,4841800 
1684327612355,4841544 
1684327612365,4841735 
1684327612375,4841727 
1684327612385,4841673 
1684327612394,4841805 
1684327612405,4841924 
1684327612414,4841891 
1684327612425,4841891 
1684327612435,4841962 
1684327612445,4841779 
1684327612455,4842285 
1684327612466,4842259 
1684327612475,4842250 
1684327612485,4842328 
1684327612494,4842458 
1684327612505,4842404 
1684327612515,4842598 
1684327612525,4842435 
1684327612534,4842383 
1684327612546,4842530 
1684327612555,4842383 
1684327612565,4842280 
1684327612575,4842363 
1684327612585,4842070 
1684327612595,4842159 
1684327612605,4842238 
1684327612615,4842417 
1684327612625,4842416 
1684327612635,4842595 
1684327612649,4842596 
1684327612655,4842599 
1684327612666,4842740 
1684327612675,4842816 
1684327612686,4842994 
1684327612695,4843414 
1684327612705,4843597 
1684327612715,4843462 
1684327612725,4843381 
1684327612735,4843254 
1684327612745,4843266 
1684327612755,4843368 
1684327612766,4843439 
1684327612775,4843445 
1684327612785,4843601 
1684327612795,4843199 
1684327612805,4843380 
1684327612815,4843622 
1684327612825,4843786 
