Timestamp,ppgIr 
1684327629134,5578043 
1684327629144,5577745 
1684327629155,5577353 
1684327629164,5577072 
1684327629175,5576592 
1684327629185,5576616 
1684327629195,5576461 
1684327629204,5576479 
1684327629215,5576625 
1684327629224,5576890 
1684327629235,5576569 
1684327629244,5575962 
1684327629254,5575524 
1684327629264,5575147 
1684327629276,5574446 
1684327629284,5573965 
1684327629294,5573570 
1684327629304,5573191 
1684327629315,5572640 
1684327629325,5572543 
1684327629335,5572600 
1684327629344,5572678 
1684327629355,5573287 
1684327629364,5573416 
1684327629375,5573724 
1684327629384,5574307 
1684327629395,5574591 
1684327629405,5574727 
1684327629415,5574295 
1684327629424,5573830 
1684327629435,5573553 
1684327629445,5573218 
1684327629455,5572802 
1684327629464,5572474 
1684327629476,5572376 
1684327629484,5572329 
1684327629495,5572049 
1684327629505,5571796 
1684327629515,5571606 
1684327629524,5571537 
1684327629535,5571613 
1684327629545,5571966 
1684327629555,5572460 
1684327629564,5572369 
1684327629576,5572554 
1684327629584,5572730 
1684327629595,5572686 
1684327629604,5572995 
1684327629615,5573370 
1684327629624,5573790 
1684327629635,5573980 
1684327629644,5573803 
1684327629655,5574210 
1684327629665,5574422 
1684327629676,5574830 
1684327629685,5574777 
1684327629695,5575069 
1684327629704,5575420 
1684327629715,5575717 
1684327629724,5575853 
1684327629735,5576002 
1684327629744,5575956 
1684327629755,5576096 
1684327629764,5575831 
1684327629776,5575731 
1684327629784,5575052 
1684327629795,5574763 
1684327629804,5574534 
1684327629815,5574218 
1684327629824,5573775 
1684327629835,5573225 
1684327629845,5572751 
1684327629855,5572244 
1684327629864,5572452 
1684327629876,5572984 
1684327629885,5573403 
1684327629895,5573719 
1684327629905,5574158 
1684327629915,5573987 
1684327629925,5573739 
1684327629935,5573756 
1684327629945,5573664 
1684327629955,5573710 
1684327629965,5573535 
1684327629981,5573539 
1684327629985,5573550 
1684327629995,5573817 
1684327630005,5573672 
1684327630015,5573855 
1684327630025,5573945 
1684327630035,5574014 
1684327630045,5574232 
1684327630057,5574642 
1684327630065,5574903 
1684327630076,5575532 
1684327630085,5575540 
1684327630095,5576053 
1684327630105,5576384 
1684327630115,5576569 
1684327630125,5576993 
1684327630135,5577197 
1684327630145,5577300 
1684327630155,5577209 
1684327630165,5577255 
1684327630176,5577420 
1684327630185,5577663 
1684327630195,5578070 
1684327630205,5578555 
1684327630215,5578913 
1684327630225,5579466 
1684327630235,5579850 
1684327630245,5579950 
1684327630255,5580314 
1684327630265,5580649 
1684327630277,5580814 
1684327630285,5581111 
1684327630295,5580930 
1684327630305,5581271 
1684327630315,5581265 
1684327630325,5581241 
1684327630335,5581092 
1684327630346,5581075 
1684327630356,5580924 
1684327630365,5580470 
1684327630377,5580370 
1684327630385,5580262 
1684327630395,5580411 
