Timestamp,heartRate,ibi,flag 
1684327423868,79,750,1
1684327424868,79,780,1
1684327425868,78,799,1
1684327426868,78,757,1
1684327427868,78,784,1
1684327428868,78,794,1
1684327429868,77,765,1
1684327430868,78,775,1
1684327431868,78,772,1
1684327432868,78,748,1
1684327433868,79,778,1
1684327434868,79,752,1
1684327435868,79,719,1
1684327436868,78,818,1
1684327437868,78,806,1
1684327438868,78,746,1
1684327439868,79,790,1
1684327440868,79,728,1
1684327441868,80,706,1
1684327442868,81,755,1
1684327443868,81,725,1
1684327444868,81,720,1
1684327445868,81,774,1
1684327446868,81,743,1
1684327447868,82,707,1
1684327448868,83,681,1
1684327449868,84,708,1
1684327450868,84,674,1
1684327451868,84,725,1
1684327452868,83,777,1
1684327453868,82,756,1
1684327454868,81,779,1
1684327455868,80,801,1
1684327456868,80,731,1
1684327457868,80,759,1
1684327458868,80,755,1
1684327459868,79,718,1
1684327460868,79,755,1
1684327461868,79,812,1
1684327462868,79,751,1
1684327463868,79,758,1
1684327464868,79,783,1
1684327465868,79,730,1
1684327466868,79,747,1
1684327467868,80,742,1
1684327468868,80,760,1
1684327469868,81,738,1
1684327470868,80,716,1
1684327471868,80,754,1
1684327472868,81,746,1
1684327473868,82,691,1
1684327474868,83,605,1
1684327475868,84,676,1
1684327476868,85,686,1
1684327477868,87,658,1
1684327478868,87,700,1
1684327479868,88,681,1
1684327480868,89,668,1
1684327481868,89,642,1
1684327482868,89,668,1
1684327483868,88,716,1
1684327484868,87,723,1
1684327485868,87,727,1
1684327486868,86,677,1
1684327487868,86,709,1
1684327488868,85,757,1
1684327489868,85,708,1
1684327490868,85,720,1
1684327491868,85,665,1
1684327492868,85,711,1
1684327493868,85,716,1
1684327494868,84,742,1
1684327495868,83,763,1
1684327496868,82,743,1
1684327497868,82,838,1
1684327498868,81,826,1
1684327499868,80,708,1
1684327500868,81,746,1
1684327501868,81,699,1
1684327502868,82,689,1
1684327503868,82,717,1
1684327504868,82,754,1
1684327505868,81,748,1
1684327506868,82,727,1
1684327507868,82,677,1
1684327508868,82,740,1
1684327509868,83,743,1
1684327510868,83,707,1
1684327511868,83,766,1
1684327512868,82,720,1
1684327513868,82,750,1
1684327514868,82,755,1
1684327515868,81,721,1
1684327516868,81,732,1
1684327517868,81,759,1
1684327518868,81,692,1
1684327519868,81,745,1
1684327520868,81,726,1
1684327521868,82,697,1
1684327522868,82,757,1
1684327523868,82,729,1
1684327524868,82,754,1
1684327525868,81,769,1
1684327526868,81,749,1
1684327527868,81,724,1
1684327528868,81,774,1
1684327529868,81,706,1
1684327530868,82,687,1
1684327531868,82,705,1
1684327532868,83,711,1
1684327533868,84,696,1
1684327534868,85,639,1
1684327535868,86,624,1
1684327536868,88,620,1
1684327537868,89,654,1
1684327538868,89,629,1
1684327539868,90,642,1
1684327540868,90,676,1
1684327541868,90,697,1
1684327542868,89,688,1
1684327543868,89,693,1
1684327544868,89,692,1
1684327545868,88,678,1
1684327546868,88,688,1
1684327547868,87,712,1
1684327548868,86,706,1
1684327549868,86,711,1
1684327550868,86,687,1
1684327551868,85,698,1
1684327552868,85,748,1
1684327553868,84,700,1
1684327554868,84,714,1
1684327555868,84,753,1
1684327556868,84,714,1
1684327557868,83,682,1
1684327558868,82,777,1
1684327559868,81,732,1
1684327560868,81,764,1
1684327561868,80,718,1
1684327562868,80,753,1
1684327563868,80,779,1
1684327564868,79,735,1
1684327565868,80,752,1
1684327566868,80,765,1
1684327567868,80,743,1
1684327568868,80,766,1
1684327569868,80,746,1
